let geocoded_ice = 
`recipient_name,total_obligated_amount,Country,Address,County,City,State,"Zip4 Code","Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
"GUIDEHOUSE INC.",49249466.12,USA,"1676 INTERNATIONAL DR STE 800","MC LEAN",FAIRFAX,VA,221023600,38.924123,-77.228397,1,rooftop,"1676 International Dr","Ste 800","Mc Lean, VA 22102",1676,"International Dr",Ste,800,"Mc Lean",VA,"Fairfax County",22102,US,Fairfax
"ALETHIX, LLC",46705748.4,USA,"1430 SPRING HILL RD STE 200","MC LEAN",FAIRFAX,VA,221023013,38.93231,-77.234271,1,rooftop,"1430 Spring Hill Rd","Ste 200","Mc Lean, VA 22102",1430,"Spring Hill Rd",Ste,200,"Mc Lean",VA,"Fairfax County",22102,US,Fairfax
"PRICE MODERN LLC",45867273.32,USA,"2604 SISSON ST",BALTIMORE,"BALTIMORE (CITY)",MD,212113101,39.317659,-76.624086,1,rooftop,"2604 Sisson St",,"Baltimore, MD 21211",2604,"Sisson St",,,Baltimore,MD,"Baltimore City",21211,US,"City of Baltimore"
"ACCENTURE FEDERAL SERVICES LLC",44264111.58,USA,"800 NORTH GLEBE RD #300",ARLINGTON,ARLINGTON,VA,222031807,38.88023,-77.114835,1,rooftop,"800 N Glebe Rd","# 300","Arlington, VA 22203",800,"N Glebe Rd",#,300,Arlington,VA,"Arlington County",22203,US,Arlington
"JSI TELECOM INC.",42462108.28,USA,"15004 NORTHRIDGE DR # 100",CHANTILLY,FAIRFAX,VA,201513817,38.882476,-77.465053,1,rooftop,"15004 Northridge Dr",100,"Chantilly, VA 20151",15004,"Northridge Dr",,100,Chantilly,VA,"Fairfax County",20151,US,Fairfax
"INTEGRITYONE PARTNERS, INC.",42045608.17,USA,"11325 RANDOM HILLS ROAD",FAIRFAX,FAIRFAX,VA,220306051,38.855508,-77.337784,1,rooftop,"11325 Random Hills Rd",,"Fairfax, VA 22030",11325,"Random Hills Rd",,,Fairfax,VA,"Fairfax County",22030,US,Fairfax
"ALPHA OMEGA INTEGRATION LLC",39826166.54,USA,"8150 LEESBURG PIKE STE 1010",VIENNA,FAIRFAX,VA,221822714,38.916412,-77.22675,1,rooftop,"8150 Leesburg Pike","Ste 1010","Vienna, VA 22182",8150,"Leesburg Pike",Ste,1010,Vienna,VA,"Fairfax County",22182,US,Fairfax
"SPECTRUM SECURITY SERVICES, INC.",39656944.83,USA,"13967 HIGHWAY 94 STE 101",JAMUL,"SAN DIEGO",CA,919353232,32.71348,-116.871458,1,rooftop,"13967 State Route 94","Ste 101","Jamul, CA 91935",13967,"State Route 94",Ste,101,Jamul,CA,"San Diego County",91935,US,"San Diego Geographic Information Source - JPA"
"TALTON COMMUNICATIONS INC",38787485.02,USA,"910 RAVENWOOD DR",SELMA,DALLAS,AL,367016723,32.421432,-87.04287,1,rooftop,"910 Ravenwood Dr",,"Selma, AL 36701",910,"Ravenwood Dr",,,Selma,AL,"Dallas County",36701,US,Dallas
"ANACAPA MICRO PRODUCTS, INC.",38612453.59,USA,"1901 SOLAR DR STE 150",OXNARD,VENTURA,CA,930360630,34.219424,-119.145714,1,rooftop,"1901 Solar Dr","Ste 150","Oxnard, CA 93036",1901,"Solar Dr",Ste,150,Oxnard,CA,"Ventura County",93036,US,"Ventura (Ventura County)"
"PANAMERICA COMPUTERS, INC.",38028005.66,USA,"1386 BIG OAK RD",LURAY,PAGE,VA,228355233,38.651565,-78.509005,1,rooftop,"1386 Big Oak Rd",,"Luray, VA 22835",1386,"Big Oak Rd",,,Luray,VA,"Page County",22835,US,"Virginia Geographic Information Network (VGIN)"
"CREDENCE MANAGEMENT SOLUTIONS LIMITED LIABILITY COMPANY",36071019.76,USA,"8609 WESTWOOD CTR DR STE 300",VIENNA,FAIRFAX,VA,221827521,38.928457,-77.24665,1,rooftop,"8609 Westwood Center Dr","Ste 300","Vienna, VA 22182",8609,"Westwood Center Dr",Ste,300,Vienna,VA,"Fairfax County",22182,US,Fairfax
"AT&T ENTERPRISES, LLC",34351078.88,USA,"7125 COLUMBIA GATEWAY",COLUMBIA,HOWARD,MD,210462552,39.175406,-76.834945,0.5,place,,,"Columbia, MD 21046",,,,,Columbia,MD,"Howard County",21046,US,"TIGER/Line® dataset from the US Census Bureau"
"CREATIVE CORRECTIONS, LLC",33504752.78,USA,"6675 CALDER AVE",BEAUMONT,JEFFERSON,TX,777066005,30.074847,-94.170969,1,range_interpolation,"6675 Calder Ave",,"Beaumont, TX 77706",6675,"Calder Ave",,,Beaumont,TX,"Jefferson County",77706,US,"TIGER/Line® dataset from the US Census Bureau"
"DYNAMIS, INC.",33435187.31,USA,"3130 FAIRVIEW PARK DR STE 300","FALLS CHURCH",FAIRFAX,VA,220424578,38.860558,-77.218231,1,rooftop,"3130 Fairview Park Dr","Ste 300","Falls Church, VA 22042",3130,"Fairview Park Dr",Ste,300,"Falls Church",VA,"Fairfax County",22042,US,Fairfax
"U.S. BANCORP",32450163.27,USA,"800 NICOLLET MALL",MINNEAPOLIS,HENNEPIN,MN,554027000,44.975615,-93.273882,1,rooftop,"800 Nicollet Mall",,"Minneapolis, MN 55402",800,"Nicollet Mall",,,Minneapolis,MN,"Hennepin County",55402,US,Hennepin
"ISS ACTION INC",32392183.29,USA,"204 E MCKENZIE ST","PUNTA GORDA",CHARLOTTE,FL,339506073,26.92737,-82.045322,1,rooftop,"204 E McKenzie St",,"Punta Gorda, FL 33950",204,"E McKenzie St",,,"Punta Gorda",FL,"Charlotte County",33950,US,"Charlotte (Charlotte County)"
"THUNDERCAT TECHNOLOGY, LLC",31737879.8,USA,"1925 ISAAC NEWTON SQ STE 180",RESTON,FAIRFAX,VA,201905030,38.953074,-77.335467,1,rooftop,"1925 Isaac Newton Sq E","Ste 180","Reston, VA 20190",1925,"Isaac Newton Sq E",Ste,180,Reston,VA,"Fairfax County",20190,US,Fairfax
"BLUE TECH INC.",31475937.93,USA,"2251 SAN DIEGO AVE STE B155","SAN DIEGO","SAN DIEGO",CA,921102930,32.748693,-117.192451,1,rooftop,"2251 San Diego Ave","Ste B155","San Diego, CA 92110",2251,"San Diego Ave",Ste,B155,"San Diego",CA,"San Diego County",92110,US,"City of San Diego (ODC PDDL)"
"AHTNA SUPPORT & TRAINING SERVICES LLC",31406695.91,USA,"110 W 38TH AVE STE 200D",ANCHORAGE,ANCHORAGE,AK,995035677,61.185937,-149.884027,1,rooftop,"110 W 38th Ave","Ste 200D","Anchorage, AK 99503",110,"W 38th Ave",Ste,200D,Anchorage,AK,"Anchorage Municipality",99503,US,"Statewide AK"
"CHEVO CONSULTING LLC",31228267.56,USA,"2275 RESEARCH BLVD., STE 100",ROCKVILLE,MONTGOMERY,MD,208503340,39.102278,-77.181817,1,rooftop,"2275 Research Blvd","Ste 100","Rockville, MD 20850",2275,"Research Blvd",Ste,100,Rockville,MD,"Montgomery County",20850,US,Montgomery
