Date,Open,High,Low,Close,Volume
01/29/2025,"30.17","31.57","30.10","31.34","2,499,567"
01/28/2025,"31.19","31.30","28.36","30.03","6,385,527"
01/27/2025,"32.34","33.24","30.96","31.01","3,399,237"
01/24/2025,"33.38","33.84","32.57","33.07","2,169,678"
01/23/2025,"34.50","35.20","33.24","33.48","2,310,204"
01/22/2025,"34.27","34.69","32.34","34.35","4,186,009"
01/21/2025,"35.82","36.46","33.87","34.87","5,312,353"
01/17/2025,"34.35","35.62","34.01","35.35","4,530,557"
01/16/2025,"34.00","34.85","33.70","34.00","3,222,054"
01/15/2025,"33.63","34.12","32.81","33.85","3,653,809"
01/14/2025,"31.09","31.71","30.51","31.67","2,061,084"
01/13/2025,"30.56","30.73","29.42","30.66","2,636,831"
01/10/2025,"31.00","31.77","30.25","30.94","3,453,597"
01/08/2025,"28.68","31.13","28.24","31.07","4,063,155"
01/07/2025,"29.27","29.39","27.80","28.69","1,858,533"
01/06/2025,"29.39","29.40","28.25","29.08","2,644,391"
01/03/2025,"28.30","29.41","27.71","29.31","2,654,146"
01/02/2025,"27.83","28.93","27.41","28.29","1,994,871"
12/31/2024,"27.81","28.66","27.65","27.98","2,044,437"
12/30/2024,"27.49","28.19","27.39","27.54","1,515,579"
12/27/2024,"28.15","28.78","27.57","27.66","1,718,769"
12/26/2024,"28.13","28.43","27.91","28.29","1,676,582"
12/24/2024,"27.74","28.56","27.41","28.12","726,897"
12/23/2024,"28.19","28.88","27.15","28.01","1,755,757"
12/20/2024,"27.40","28.31","27.23","27.51","7,128,335"
12/19/2024,"26.97","28.37","26.22","28.00","3,564,778"
12/18/2024,"27.80","27.84","25.85","26.37","2,739,834"
12/17/2024,"26.93","28.23","26.61","27.53","3,120,690"
12/16/2024,"27.00","28.11","26.93","27.73","1,548,057"
12/13/2024,"27.71","27.92","27.06","27.41","2,241,804"
12/12/2024,"27.54","28.56","27.40","27.77","1,395,851"
12/11/2024,"27.91","28.11","27.44","27.80","2,271,897"
12/10/2024,"28.40","29.44","27.91","27.93","3,945,413"
12/09/2024,"28.42","28.93","27.94","28.14","2,032,931"
12/06/2024,"29.17","29.24","28.15","28.42","2,081,323"
12/05/2024,"29.75","29.86","28.56","29.13","2,496,104"
12/04/2024,"26.55","29.28","26.45","29.20","5,546,724"
12/03/2024,"26.72","27.19","26.56","26.95","2,444,213"
12/02/2024,"28.25","28.51","27.01","27.12","3,872,362"
11/29/2024,"28.71","29.30","28.04","28.51","1,434,236"
11/27/2024,"28.16","29.15","27.83","28.69","2,501,499"
11/26/2024,"27.88","29.09","27.69","27.83","3,633,578"
11/25/2024,"28.60","28.89","27.94","27.94","2,926,877"
11/22/2024,"29.00","29.57","28.44","28.68","2,514,430"
11/21/2024,"28.07","29.48","27.66","28.73","4,146,887"
11/20/2024,"28.33","28.60","27.22","27.81","2,380,182"
11/19/2024,"25.56","28.58","25.36","28.40","4,089,909"
11/18/2024,"26.25","26.98","25.74","26.38","2,788,917"
11/15/2024,"26.17","27.54","25.91","26.60","4,890,841"
11/14/2024,"26.04","27.00","25.73","26.10","5,385,677"
11/13/2024,"25.33","26.59","24.91","25.47","5,171,087"
11/12/2024,"26.01","26.20","24.31","25.05","6,177,512"
11/11/2024,"27.00","27.88","26.18","26.48","9,317,479"
11/08/2024,"24.96","25.88","24.17","25.36","8,126,852"
11/07/2024,"20.10","24.58","20.00","24.43","14,703,340"
11/06/2024,"19.34","21.54","19.06","21.50","20,190,730"
11/05/2024,"14.52","15.27","14.47","15.13","5,772,433"
11/04/2024,"14.30","14.30","13.59","14.18","5,533,751"
11/01/2024,"15.30","15.46","14.41","14.45","3,457,055"
10/31/2024,"15.91","15.91","15.11","15.18","2,927,039"
10/30/2024,"16.20","16.47","15.85","15.91","2,253,129"
10/29/2024,"16.32","16.38","15.95","16.28","1,473,539"
10/28/2024,"15.60","16.37","15.59","16.24","3,657,226"
10/25/2024,"15.27","15.50","15.17","15.19","1,601,791"
10/24/2024,"15.40","15.52","15.25","15.25","1,102,577"
10/23/2024,"15.43","15.90","15.09","15.29","2,207,402"
10/22/2024,"15.03","15.64","15.02","15.55","1,736,207"
10/21/2024,"15.24","15.40","15.03","15.15","1,343,481"
10/18/2024,"15.19","15.26","14.85","15.20","1,488,745"
10/17/2024,"15.28","15.55","14.95","15.15","2,652,056"
10/16/2024,"14.99","15.66","14.94","15.19","2,853,095"
10/15/2024,"14.85","15.16","14.62","14.99","2,400,578"
10/14/2024,"14.05","14.81","14.05","14.75","2,212,427"
10/11/2024,"13.83","14.16","13.75","13.92","1,652,338"
10/10/2024,"13.52","13.94","13.36","13.86","2,714,686"
10/09/2024,"13.72","13.85","13.54","13.62","1,707,889"
10/08/2024,"13.74","14.00","13.55","13.75","1,613,817"
10/07/2024,"13.39","13.81","13.23","13.72","1,622,775"
10/04/2024,"13.50","13.52","13.20","13.41","1,445,174"
10/03/2024,"12.95","13.43","12.86","13.32","1,890,811"
10/02/2024,"12.81","13.08","12.80","13.04","1,254,297"
10/01/2024,"12.75","13.00","12.54","12.83","1,310,821"
09/30/2024,"12.64","13.36","12.62","12.85","2,773,873"
09/27/2024,"12.85","12.94","12.58","12.71","1,516,760"
09/26/2024,"12.60","12.85","12.55","12.71","1,573,251"
09/25/2024,"12.70","12.81","12.41","12.43","1,050,932"
09/24/2024,"12.66","12.85","12.65","12.68","1,241,085"
09/23/2024,"12.48","12.69","12.39","12.62","1,752,155"
09/20/2024,"12.38","12.67","12.29","12.37","3,395,046"
09/19/2024,"13.01","13.01","12.41","12.49","2,253,528"
09/18/2024,"12.90","13.00","12.50","12.51","1,552,727"
09/17/2024,"13.26","13.28","12.80","12.84","1,689,447"
09/16/2024,"13.01","13.29","12.98","13.12","1,308,394"
09/13/2024,"12.65","12.97","12.42","12.96","1,562,726"
09/12/2024,"12.61","12.83","12.53","12.61","1,340,203"
09/11/2024,"12.51","12.73","11.75","12.55","5,043,743"
09/10/2024,"13.52","13.59","13.21","13.47","2,201,002"
09/09/2024,"13.40","13.72","13.09","13.45","3,382,703"
09/06/2024,"13.17","13.33","12.98","13.13","1,514,075"
09/05/2024,"13.09","13.44","12.97","13.23","1,418,342"
09/04/2024,"13.17","13.24","12.87","13.07","1,540,781"
09/03/2024,"13.68","13.74","13.08","13.21","1,683,410"
08/30/2024,"13.67","13.87","13.60","13.87","1,599,292"
08/29/2024,"13.62","13.69","13.34","13.55","1,291,859"
08/28/2024,"13.30","13.60","13.26","13.56","1,141,384"
08/27/2024,"13.53","13.60","13.28","13.30","1,443,531"
08/26/2024,"14.16","14.23","13.62","13.65","1,768,264"
08/23/2024,"13.74","14.25","13.66","14.22","1,465,740"
08/22/2024,"13.73","13.94","13.59","13.70","1,222,313"
08/21/2024,"13.45","13.97","13.43","13.73","2,229,447"
08/20/2024,"13.17","13.58","13.14","13.42","1,760,995"
08/19/2024,"13.07","13.27","12.92","13.22","1,234,491"
08/16/2024,"13.07","13.28","12.93","13.02","1,080,352"
