recipient_name,total_obligated_amount,Country,Address,County,City,State,Zip4 Code
NU BORDERS LLC,1966419.28,USA,1037 PLEASANT ST,BRIDGEWATER,PLYMOUTH,MA,23242301
"ITSC SECURE SOLUTIONS, LLC",1958986.8,USA,4510 GRESHAM LN SE,OWENS CROSS ROADS,MADISON,AL,357633201
COMMIT ENTERPRISES INC,1927893.97,USA,4151 SPRUILL AVE STE 300,N CHARLESTON,CHARLESTON,SC,294054946
"GOLDEN KEY GROUP, LLC",1884957.46,USA,1850 CENTENNIAL PARK DR,RESTON,FAIRFAX,VA,201911524
"FEDERAL RESOURCES SUPPLY COMPANY, LLC",1870910.02,USA,235-G LOG CANOE CIR,STEVENSVILLE,QUEEN ANNE'S,MD,216662165
"BARNALLEN TECHNOLOGIES, INC.",1830192.6,USA,1700 ROCKVILLE PIKE STE 300,ROCKVILLE,MONTGOMERY,MD,208521631
RELX INC,1818722,USA,9443 SPRINGBORO PIKE,MIAMISBURG,MONTGOMERY,OH,453424425
BERLA CORPORATION,1803440,USA,565 MAYNADIER LN,CROWNSVILLE,ANNE ARUNDEL,MD,210322137
APPLIED FUNDAMENTALS CONSULTING LLC,1795485.64,USA,13655 DULLES TECHNOLOGY DR STE 160,HERNDON,FAIRFAX,VA,201714634
"MOI, INC.",1777526.13,USA,1801 PORTER ST STE 100,BALTIMORE,BALTIMORE (CITY),MD,212305562
"ETHIC TECH, LLC",1767900.65,USA,401 WYNN DR NW,HUNTSVILLE,MADISON,AL,358051962
"DEFENSE POINT SECURITY, LLC",1754957.95,USA,44 CANAL CENTER PLAZA SUITE 305,ALEXANDRIA,ALEXANDRIA (CITY),VA,223141552
CINKA CONSTRUCTION & CONSULTING SERVICES LLC,1740861,USA,307 SAINT KITTS LOOP,SAINT AUGUSTINE,ST. JOHNS,FL,320921181
"ARETEC, INC",1733613.5,USA,10201 FAIRFAX BLVD STE 223,FAIRFAX,FAIRFAX (CITY),VA,220302222
A2Z SUPPLY CORP,1720998.36,USA,302 MAIN ST,STEVENSVILLE,RAVALLI,MT,598702530
CENTRAL PARKING SYSTEM INC,1714097.76,USA,1225 I ST NW STE C100,WASHINGTON,DISTRICT OF COLUMBIA,DC,200053914
MOUNTAIN HORSE LLC,1712959.05,USA,407 S TEJON ST,COLORADO SPRINGS,EL PASO,CO,809032196
"GOVPLACE, LLC",1670182.52,USA,7315 WISCONSIN AVE STE 300,BETHESDA,MONTGOMERY,MD,208143202
"TRIDANT SOLUTIONS, INC.",1665998.81,USA,453 N LAKE AVE,PASADENA,LOS ANGELES,CA,911011215
"DIGITALSPEC, LLC",1664490.42,USA,3949 PENDER DRIVE STE 305,FAIRFAX,FAIRFAX,VA,220306048
NATIONAL CYBER-FORENSICS AND TRAINING ALLIANCE LIMITED,1623999.84,USA,2000 TECHNOLOGY DR STE 450,PITTSBURGH,ALLEGHENY,PA,152193112
DAWN INCORPORATED,1610099,USA,2861 SFERRA AVE NW,WARREN,TRUMBULL,OH,44483
"SAYARI ANALYTICS, LLC",1588250.75,USA,829 7TH ST NW FL 3,WASHINGTON,DISTRICT OF COLUMBIA,DC,200013850
EG&R ENGINEERING PC,1545910.24,USA,1249 S RIVER RD,CRANBURY,MIDDLESEX,NJ,85123633
"ACCESS COMMUNICATIONS GROUP, LLC",1535472.23,USA,2017 TEXAS AVE,EL PASO,EL PASO,TX,799011943
SP PLUS CORPORATION,1532519.36,USA,200 E RANDOLPH ST STE 7700,CHICAGO,COOK,IL,606017702
ADVENTURES BY DAWN L.L.C,1525614.53,USA,17517B INDIAN HEAD HWY,ACCOKEEK,PRINCE GEORGE'S,MD,206072527
CADUCEUS HEALTHCARE INC,1516911.87,USA,1850 PARKWAY PL SE STE 725,MARIETTA,COBB,GA,300678262
"OPTIVOR TECHNOLOGIES, LLC",1485759.36,USA,7616 SOUTHLAND BLVD STE 111,ORLANDO,ORANGE,FL,328098513
"TSC MANAGEMENT, LLC",1472504.29,USA,1600 BELLEVILLE ST,RICHMOND,RICHMOND (CITY),VA,232304440
THERMO SCIENTIFIC PORTABLE ANALYTICAL INSTRUMENTS INC.,1455648.08,USA,2 RADCLIFF RD,TEWKSBURY,MIDDLESEX,MA,18761182
PAPERLESS INNOVATIONS INC,1445856,USA,4273 HAULOVER DR,JOHNS ISLAND,CHARLESTON,SC,294554116
ASET PARTNERS CORP.,1384024,USA,5523 RESEARCH PARK DR STE 240,BALTIMORE,BALTIMORE,MD,212284587
HUMAN RESOURCES RESEARCH ORGANIZATION (HUMRRO),1373293.83,USA,66 CANAL CENTER PLZ,ALEXANDRIA,ALEXANDRIA (CITY),VA,223141578
"J.P. INDUSTRIES, INC.",1354185.56,USA,2851 N COUNTRY CLUB RD,TUCSON,PIMA,AZ,857161909
"MODEL CONCEPT COMMUNICATIONS, LLC",1343827.04,USA,12025 NEW DOMINION PKWY APT 204,RESTON,FAIRFAX,VA,201906265
"MANDIANT, INC.",1340480,USA,601 MCCARTHY BLVD,MILPITAS,SANTA CLARA,CA,950357932
"PRIME MASONRY, LLC",1335686.01,USA,2212 PRIMROSE AVE STE E,MCALLEN,HIDALGO,TX,785044161
"APL ACCESS & SECURITY, INC.",1329809.67,USA,115 SOUTH WILLIAM DILLARD DR,GILBERT,MARICOPA,AZ,852335525
PERATON TECHNOLOGY SERVICES INC.,1323206.12,USA,15050 CONFERENCE CENTER DR,CHANTILLY,FAIRFAX,VA,201513857
TRANSLATION EXCELLENCE INC.,1297521.68,USA,3300 S PARKER RD,AURORA,ARAPAHOE,CO,800143504
"GANS & PUGH ASSOCIATES, INC.",1296335,USA,690 CTR ST STE 201,HERNDON,FAIRFAX,VA,201705019
CENTRAL LAKE ARMOR EXPRESS INC,1285438.27,USA,750A W FIELDCREST RD,EDEN,ROCKINGHAM,NC,272883631
"LEGAL INTERPRETING SERVICES, INC.",1274295.01,USA,14850 CONFERENCE CENTER DR,CHANTILLY,FAIRFAX,VA,201513844
"GETTYSBURG ADDRESSES, INC.",1256900,USA,8 LINCOLN SQ,GETTYSBURG,ADAMS,PA,173252205
FLEET MANAGEMENT SOLUTIONS INC,1245845.68,USA,310 COMMERCE STE 100,IRVINE,ORANGE,CA,926021360
WHOOSTER INC,1239000,USA,112 CIMARRON PARK LOOP,BUDA,HAYS,TX,786102850
"V3 GATE TEAM, LLP",1235579.07,USA,555 MIDDLE CREEK PKWY UNIT 120,COLORADO SPRINGS,EL PASO,CO,809213798
CONSTELLATION INC,1227882.62,USA,1400 MAYHURST BLVD,MC LEAN,FAIRFAX,VA,221022235
XEROX CORPORATION,1191744.09,USA,1800 M ST NW STE 500N,WASHINGTON,DISTRICT OF COLUMBIA,DC,200365870
"IMPRES TECHNOLOGY SOLUTIONS, INC",1176703.31,USA,810 HESTERS CROSSING RD,ROUND ROCK,WILLIAMSON,TX,786817839
FIRELAKE CONSTRUCTION INC,1164660.92,USA,3054 LEEMAN FERRY RD SW,HUNTSVILLE,MADISON,AL,358015660
"YUKON FIRE PROTECTION SERVICES, INC.",1146182.76,USA,5601 SILVERADO WAY,ANCHORAGE,ANCHORAGE,AK,995181651
"DTC COMMUNICATIONS, INC.",1131940,USA,3845 GATEWAY CENTRE BLVD STE 360,PINELLAS PARK,PINELLAS,FL,337826132
EAST RIO HONDO WATER SUPPLY CORP,1130054.61,USA,206 INDUSTRIAL PKWY,RIO HONDO,CAMERON,TX,785830000
"ENTERPRISE TECHNOLOGY SOLUTIONS, INC.",1121480.95,USA,9658 BALTIMORE AVE STE 300,COLLEGE PARK,PRINCE GEORGE'S,MD,207401346
THE TRAINING CONNECTION INC,1120715.76,USA,4004 GENESEE PL,WOODBRIDGE,PRINCE WILLIAM,VA,22192
FREEDOM INTERNATIONAL INC,1117207.92,USA,42268 PROVIDENCE RIDGE DR,CHANTILLY,LOUDOUN,VA,201524372
FEDERAL EXPRESS CORPORATION,1106221.87,USA,2003 CORPORATE PLZ,MEMPHIS,SHELBY,TN,381321702
BGRS RELOCATION INC,1086800,USA,1 PARKVIEW PLZ STE 400,OAKBROOK TERRACE,DUPAGE,IL,601814492
"PHERSON ASSOCIATES, LLC",1079301.9,USA,12110 SUNSET HILLS RD STE 600,RESTON,FAIRFAX,VA,201905916
MASTODON DESIGN LLC,1052651.43,USA,55 SCIENCE PKWY,ROCHESTER,MONROE,NY,146204258
TRANS UNION LLC,1049250,USA,555 W ADAMS ST FL 1,CHICAGO,COOK,IL,606613614
"ADVANCED COMPUTER CONCEPTS, INC.",1036951.77,USA,7927 JONES BRANCH DR,MC LEAN,FAIRFAX,VA,221023317
"TLI CONSTRUCTION, INC.",1032131.29,USA,3610 CENTRAL AVE STE 400,RIVERSIDE,RIVERSIDE,CA,925065907
LEADING TECHNOLOGY COMPOSITES INC,1028606.77,USA,2626 W MAY ST,WICHITA,SEDGWICK,KS,672131854
"INTRANET COMMUNICATIONS GROUP, INC.",1012638.51,USA,3500 NW 2ND AVE STE 727,BOCA RATON,PALM BEACH,FL,334315870
ALTANA TECHNOLOGIES USG INC,1000000,USA,700 14TH ST NW,WASHINGTON,DISTRICT OF COLUMBIA,DC,200052010
"THE ESCAL INSTITUTE OF ADVANCED TECHNOLOGIES, INC.",999838.4,USA,11200 ROCKVILLE PIKE STE 200,ROCKVILLE,MONTGOMERY,MD,208523103
"GOVSMART, INC.",996063.5,USA,715 CHARLTON AVE STE 100,CHARLOTTESVILLE,CHARLOTTESVILLE (CITY),VA,229035203
"TECHNICAL AND PROJECT ENGINEERING, LLC",991219.32,USA,"6363 WALKER LANE, SUITE 300",ALEXANDRIA,FAIRFAX,VA,223103262
"HOMELAND SECURITY AND MANAGEMENT SOLUTIONS, INC.",987188.6,USA,13178 LARCHDALE RD UNIT 1,LAUREL,PRINCE GEORGE'S,MD,207081704
ECONOMIC SYSTEMS INC,987061.84,USA,3120 FAIRVIEW PARK DR STE 500,FALLS CHURCH,FAIRFAX,VA,220424568
DIGITALEDGE JV LLC,985386.74,USA,3949 PENDER DR STE 305,FAIRFAX,FAIRFAX,VA,220306048
"STRATEGIC OPERATIONS, INC.",974648.28,USA,4705 RUFFIN RD,SAN DIEGO,SAN DIEGO,CA,921231611
"MCG HEALTH, LLC.",960145.9,USA,901 5TH AVE STE 2000,SEATTLE,KING,WA,981642076
"ARMADA, LTD.",957908.88,USA,23 CLAIREDAN DRIVE,POWELL,DELAWARE,OH,430658064
"PHOENIX GENERAL CONTRACTORS, LLC",956306.38,USA,11940 DON HASKINS DR,EL PASO,EL PASO,TX,799366998
"CYNWAVE SOLUTIONS, LLC",938254.71,USA,238 EDENBRIDGE WAY,EVANS,COLUMBIA,GA,308098296
"ASSOCIATION OF CERTIFIED ANTI-MONEY LAUNDERING SPECIALISTS, LLC",919090,USA,80 SW 8TH ST STE 2300,MIAMI,MIAMI-DADE,FL,331303031
CGI FEDERAL INC.,916625.61,USA,12601 FAIR LAKES CIR # 100,FAIRFAX,FAIRFAX,VA,220334920
COINBASE INC,910000,USA,430 CALIFORNIA ST,SAN FRANCISCO,SAN FRANCISCO,CA,941041301
5150 LABS LLC,891750,USA,42882 TRURO PARISH DR STE 206,BROADLANDS,LOUDOUN,VA,201484458
"FORRESTER RESEARCH, INC.",890028.47,USA,60 ACORN PARK DR,CAMBRIDGE,MIDDLESEX,MA,21402303
"THE LANGUAGE DOCTORS, INC",887582.55,USA,1910 TOWNE CENTRE BLVD,ANNAPOLIS,ANNE ARUNDEL,MD,214012781
"MBF INDUSTRIES, INC.",887030,USA,210 TECH DR,SANFORD,SEMINOLE,FL,327716662
"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC.",870528.96,USA,380 NEW YORK STREET,REDLANDS,SAN BERNARDINO,CA,923738118
AARDVARK,838155.54,USA,1935 PUDDINGSTONE DR,LA VERNE,LOS ANGELES,CA,917505818
