Name,City,State,Zip,"Type Detailed*",Private,Operator,"Current Guaranteed Minimum","Average Daily Population","Current as of**","Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
"OZARK COUNTY SHERIFF'S OFFICE",GAINESVILLE,MO,65655,IGSA,FALSE,COUNTY,,4,08/04/2025,36.605575,-92.415322,1,place,,,"Gainesville, MO 65655",,,,,Gainesville,MO,"Ozark County",65655,US,"TIGER/Line® dataset from the US Census Bureau"
"PUTNAM COUNTY SHERIFF",COOKEVILLE,TN,38501,"USMS IGA",FALSE,COUNTY,,4,08/04/2025,36.153378,-85.531613,1,street_center,"Putnam Dr",,"Cookeville, TN 38501",,"Putnam Dr",,,Cookeville,TN,"Putnam County",38501,US,"TIGER/Line® dataset from the US Census Bureau"
"SARPY COUNTY JAIL",PAPILLION,NE,68046,"USMS IGA",FALSE,COUNTY,,4,08/04/2025,41.118594,-96.060367,1,place,,,"Papillion, NE 68046",,,,,Papillion,NE,"Sarpy County",68046,US,"TIGER/Line® dataset from the US Census Bureau"
"CHITTENDEN REGIONAL CORRECTIONAL FACILITY","SOUTH BURLINGTON",VT,5403,"USMS IGA",FALSE,COUNTY,,3,08/04/2025,44.464368,-73.205891,0.99,street_center,"Chittenden Dr",,"Burlington, VT 05401",,"Chittenden Dr",,,Burlington,VT,"Chittenden County",05401,US,"TIGER/Line® dataset from the US Census Bureau"
"FLOYD COUNTY JAIL",ROME,GA,30161,"USMS IGA",FALSE,COUNTY,,3,08/04/2025,34.241733,-85.171591,1,place,,,"Rome, GA 30161",,,,,Rome,GA,"Floyd County",30161,US,"TIGER/Line® dataset from the US Census Bureau"
"NORTHWEST REGIONAL CORRECTIONS CENTER",CROOKSTON,MN,56716,"USMS IGA",FALSE,COUNTY,,3,08/04/2025,47.705082,-96.412,1,place,,,"Crookston, MN 56716",,,,,Crookston,MN,"Polk County",56716,US,"TIGER/Line® dataset from the US Census Bureau"
"PENNINGTON COUNTY JAIL (SOUTH DAKOTA)","RAPID CITY",SD,57701,"USMS IGA",FALSE,COUNTY,,3,08/04/2025,44.070872,-103.134308,0.87,street_center,"Pennington St",,"Box Elder, SD 57719",,"Pennington St",,,"Box Elder",SD,"Pennington County",57719,US,"TIGER/Line® dataset from the US Census Bureau"
"SWEETWATER COUNTY JAIL","ROCK SPRINGS",WY,82935,"USMS IGA",FALSE,COUNTY,,3,08/04/2025,41.552847,-109.502321,1,street_center,"Sweetwater Ln",,"Green River, WY 82935",,"Sweetwater Ln",,,"Green River",WY,"Sweetwater County",82935,US,"TIGER/Line® dataset from the US Census Bureau"
"WASHINGTON COUNTY DETENTION CENTER",FAYETTEVILLE,AR,72701,"USMS IGA",FALSE,COUNTY,,3,08/04/2025,35.974602,-94.190997,1,place,,,"Fayetteville, AR 72701",,,,,Fayetteville,AR,"Washington County",72701,US,"TIGER/Line® dataset from the US Census Bureau"
"FAYETTE COUNTY DETENTION CENTER",LEXINGTON,KY,40510,"USMS IGA",FALSE,COUNTY,,2,08/04/2025,38.06146,-84.594901,1,place,,,"Lexington, KY 40510",,,,,Lexington,KY,"Fayette County",40510,US,"TIGER/Line® dataset from the US Census Bureau"
"LAUREL COUNTY CORRECTIONAL CENTER",LONDON,KY,40744,"USMS IGA",FALSE,COUNTY,,2,08/04/2025,37.07648,-84.012096,1,street_center,"Laurel Rd",,"London, KY 40744",,"Laurel Rd",,,London,KY,"Laurel County",40744,US,"TIGER/Line® dataset from the US Census Bureau"
"LUBBOCK COUNTY DETENTION CENTER",LUBBOCK,TX,79401,"USMS IGA",FALSE,COUNTY,,2,08/04/2025,33.588771,-101.850445,1,place,,,"Lubbock, TX 79401",,,,,Lubbock,TX,"Lubbock County",79401,US,"TIGER/Line® dataset from the US Census Bureau"
"MILLER COUNTY JAIL",TEXARKANA,AR,71854,"USMS IGA",FALSE,COUNTY,,2,08/04/2025,33.431043,-93.876485,0.5,place,,,"Texarkana, AR 71854",,,,,Texarkana,AR,"Miller County",71854,US,"TIGER/Line® dataset from the US Census Bureau"
"NIAGARA COUNTY JAIL",LOCKPORT,NY,14094,"USMS IGA",FALSE,COUNTY,,2,08/04/2025,43.170531,-78.706536,1,street_center,"Niagara Ct",,"Lockport, NY 14094",,"Niagara Ct",,,Lockport,NY,"Niagara County",14094,US,"TIGER/Line® dataset from the US Census Bureau"
